,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,season,player,pos,award_share,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct,mvp_won
0,0,0,0,0,1982,Moses Malone,C,0.735,26,HOU,81,81,35.0,9.75,18.75,0.4325,0.0,0.0833333333333333,0.0,9.75,18.666666666666668,0.4333333333333333,0.4325,6.5,8.499999999999998,0.635,5.75,6.5,12.25,1.5,0.75,1.25,3.0,2.166666666666667,25.916666666666668,2831.6666666666665,22.333333333333336,0.48,0.0025,0.3783333333333333,14.583333333333334,17.666666666666664,16.083333333333336,5.75,0.9166666666666669,1.75,9.916666666666666,24.916666666666664,9.75,3.083333333333333,12.833333333333334,0.1816666666666666,5.166666666666667,-1.5,3.75,4.583333333333334,-0.0333333333333333,-0.325,0.4675000000000001,Yes
1,1,1,1,1,1983,Moses Malone,C,0.96,27,PHI,78,78,35.0,7.84,15.586666666666666,0.4676,0.0,0.0,0.0,7.84,15.586666666666666,0.4685333333333333,0.4676,7.1866666666666665,9.426666666666666,0.7102666666666667,5.32,8.96,14.28,1.2133333333333334,1.0266666666666668,1.8666666666666667,3.173333333333333,2.4266666666666667,22.866666666666667,2727.2000000000003,23.426666666666662,0.5394666666666666,0.0009333333333333,0.5637333333333333,15.68,24.17333333333333,20.160000000000004,4.76,1.3066666666666666,2.8000000000000003,12.88,24.266666666666666,8.493333333333334,5.6000000000000005,14.093333333333334,0.2314666666666666,3.733333333333333,-0.28,3.453333333333333,3.92,7.158666666666667,7.0280000000000005,0.7401333333333334,Yes
2,2,2,2,2,1984,Larry Bird,PF,0.858,27,BOS,79,77,35.0,8.772845953002612,17.819843342036553,0.4496083550913838,0.1827676240208877,0.8224543080939949,0.2257180156657963,8.590078328981724,16.99738903394256,0.4605744125326371,0.454177545691906,4.295039164490862,4.8433420365535245,0.8114882506527415,2.101827676240209,7.127937336814622,9.22976501305483,6.031331592689295,1.6449086161879898,0.8224543080939949,2.741514360313316,2.284595300261097,22.11488250652741,2767.10182767624,22.11488250652741,0.5044386422976502,0.0429503916449086,0.2494778067885117,6.396866840731072,20.378590078328983,13.616187989556138,23.942558746736296,2.101827676240209,1.1879895561357705,11.057441253263708,24.399477806788514,7.219321148825067,5.117493472584857,12.428198433420366,0.1964751958224543,5.117493472584857,1.827676240208877,6.945169712793733,6.671018276762402,5.994778067885118,5.866840731070496,0.6908616187989557,Yes
3,3,3,3,3,1985,Larry Bird,SF,0.978,28,BOS,80,77,35.0,10.189873417721518,19.493670886075947,0.4625316455696203,0.6202531645569619,1.4177215189873418,0.3783544303797468,9.569620253164558,18.075949367088608,0.4687341772151899,0.4767088607594937,4.430379746835444,5.0506329113924044,0.7815189873417722,1.860759493670886,7.531645569620253,9.30379746835443,5.848101265822785,1.4177215189873418,1.0632911392405062,2.7468354430379747,2.3037974683544307,25.43037974683544,2800.886075949367,23.481012658227847,0.5183544303797468,0.0655696202531645,0.230379746835443,5.316455696202532,20.025316455696203,13.025316455696204,22.77215189873418,1.6835443037974684,1.5063291139240509,9.92405063291139,25.253164556962023,9.30379746835443,4.607594936708861,13.91139240506329,0.2108860759493671,6.025316455696203,1.7721518987341771,7.79746835443038,7.70886075949367,5.89240506329114,5.732911392405063,0.6805063291139241,Yes
4,4,4,4,4,1986,Larry Bird,SF,0.981,29,BOS,82,81,35.0,8.934210526315788,18.05263157894737,0.4568421052631579,0.9210526315789472,2.210526315789474,0.3896052631578947,8.013157894736842,15.842105263157894,0.4660526315789474,0.4798684210526315,4.973684210526316,5.526315789473684,0.8252631578947369,2.1184210526315788,6.907894736842105,9.026315789473683,6.2631578947368425,1.8421052631578947,0.5526315789473685,2.9473684210526314,2.0263157894736845,23.76315789473684,2867.236842105263,23.57894736842105,0.5342105263157895,0.1114473684210526,0.2818421052631579,6.631578947368421,18.789473684210527,13.078947368421051,24.22368421052632,2.302631578947368,0.8289473684210527,11.697368421052632,25.42105263157895,8.842105263157896,5.710526315789474,14.552631578947368,0.2247368421052631,6.078947368421052,1.9342105263157896,8.013157894736842,7.736842105263158,8.667105263157895,8.344736842105263,0.7525,Yes
5,5,5,5,5,1987,Magic Johnson,PG,0.94,27,LAL,80,80,35.0,8.195592286501377,15.81267217630854,0.503305785123967,0.0964187327823691,0.4820936639118457,0.1976584022038567,8.099173553719009,15.330578512396697,0.5129476584022039,0.506198347107438,6.460055096418734,7.617079889807163,0.8176308539944904,1.4462809917355373,4.62809917355372,6.074380165289257,11.763085399449036,1.6391184573002755,0.4820936639118457,3.663911845730028,2.024793388429752,23.044077134986225,2800.0,26.033057851239672,0.5804407713498623,0.0289256198347107,0.4647382920110193,4.820936639118457,13.209366391184572,9.352617079889807,45.50964187327825,2.121212121212121,0.6749311294765841,15.330578512396697,25.35812672176309,11.666666666666668,3.663911845730028,15.330578512396697,0.2535812672176309,7.231404958677686,1.253443526170799,8.484848484848486,7.7134986225895315,8.966942148760332,8.022038567493114,0.7646005509641873,Yes
6,6,6,6,6,1988,Michael Jordan,SG,0.831,24,CHI,82,82,35.0,11.262376237623762,21.138613861386137,0.463490099009901,0.0866336633663366,0.5198019801980198,0.1143564356435643,11.262376237623762,20.53217821782178,0.473019801980198,0.4652227722772277,7.623762376237624,9.096534653465348,0.7285891089108911,1.472772277227723,3.292079207920792,4.764851485148515,5.111386138613862,2.7722772277227725,1.3861386138613865,2.685643564356436,2.858910891089109,30.32178217821782,2868.440594059406,27.46287128712872,0.5224009900990099,0.0233910891089108,0.3725247524752476,4.158415841584159,9.26980198019802,6.757425742574258,23.391089108910894,3.378712871287129,2.07920792079208,8.316831683168317,29.5420792079208,13.168316831683168,5.284653465346534,18.36633663366337,0.2668316831683168,7.623762376237624,3.6386138613861374,11.262376237623762,10.82920792079208,2.945544554455446,3.257425742574257,0.5284653465346535,Yes
7,7,7,7,7,1989,Magic Johnson,PG,0.782,29,LAL,77,77,35.0,7.0,13.813333333333333,0.4750666666666666,0.7466666666666668,2.24,0.2930666666666666,6.346666666666666,11.48,0.5114666666666667,0.4993333333333333,6.253333333333333,6.813333333333333,0.8502666666666667,1.3066666666666666,5.973333333333335,7.373333333333333,11.946666666666667,1.68,0.28,3.826666666666666,2.0533333333333337,21.0,2693.6,25.106666666666666,0.5833333333333334,0.154,0.462,4.293333333333333,16.8,10.92,45.36,2.1466666666666665,0.3733333333333334,17.173333333333332,22.68,11.293333333333331,3.733333333333333,15.026666666666667,0.2492,6.813333333333333,1.8666666666666667,8.773333333333333,7.746666666666667,6.692,5.954666666666666,0.6486666666666666,Yes
8,8,8,8,8,1990,Magic Johnson,PG,0.691,30,LAL,79,79,35.0,6.491935483870968,13.548387096774194,0.4516129032258064,1.2231182795698925,3.293010752688172,0.3612903225806451,5.268817204301074,10.25537634408602,0.4798387096774193,0.4948924731182795,6.774193548387097,7.620967741935483,0.8373655913978494,1.5053763440860213,4.704301075268817,6.209677419354838,10.81989247311828,1.5994623655913975,0.3763440860215053,3.4811827956989245,1.9758064516129032,20.981182795698924,2763.306451612903,25.026881720430108,0.5852150537634409,0.2286290322580645,0.5268817204301075,4.892473118279569,13.924731182795698,9.596774193548386,42.80913978494623,2.0698924731182795,0.6586021505376343,15.9005376344086,23.33333333333333,12.04301075268817,3.575268817204301,15.524193548387094,0.2540322580645161,7.809139784946236,1.6935483870967742,9.50268817204301,8.373655913978494,6.379032258064516,6.341397849462366,0.7225806451612903,Yes
9,9,9,9,9,1991,Michael Jordan,SG,0.928,27,CHI,82,82,35.0,11.445945945945946,21.189189189189182,0.5098648648648649,0.3783783783783784,1.0405405405405406,0.2951351351351351,11.067567567567568,20.14864864864865,0.5212162162162163,0.5174324324324324,6.621621621621622,7.756756756756756,0.8049999999999999,1.324324324324324,4.351351351351351,5.675675675675676,5.202702702702703,2.5540540540540544,0.945945945945946,2.364864864864865,2.648648648648648,29.79729729729729,2870.0,29.89189189189189,0.5722972972972973,0.0482432432432432,0.3452702702702702,4.351351351351351,13.527027027027026,8.986486486486486,23.837837837837835,3.5,1.608108108108108,8.22972972972973,31.121621621621617,14.094594594594597,5.108108108108109,19.202702702702705,0.3036486486486486,8.41891891891892,3.027027027027027,11.351351351351353,10.216216216216218,8.608108108108107,8.106756756756758,0.7037837837837838,Yes
